"dfng1.score" "dfng1.text"
"1" 0 "RT @mahi2you: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/k60BadW5T3"
"2" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"3" 0 "RT @mahi2you: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/k60BadW5T3"
"4" 0 "RT @crazy_N28: \"@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…"
"5" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"6" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"7" 0 "RT @avinash67899: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/arWrzABijV"
"8" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"9" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"10" 0 "\"#PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/nPvVyIFr60\"\" idhi choodandra"
"11" 0 "#PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu @PawanKalyanFan  http://t.co/eTwWGTQXbw"
"12" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"13" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"14" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"15" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"16" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"17" 0 "RT @crazy_N28: \"@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…"
"18" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"19" 0 "#PawanKalyan Daughter Aadhya in the sets of #GAV with MegaStar and Surekha garu. http://t.co/PR6l3beb0L\""
"20" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"21" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"22" 0 "RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…"
"23" 0 "RT @crazy_N28: \"@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…"
"24" 0 "RT @crazy_N28: \"@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…"
